id,titulo,genero,anio_estreno,temporadas,plataforma,pais
1,Ruta Antigua,Documental,2016,6,CineMax Play,Brasil
2,Niebla Rota,Documental,2021,2,Europa Cine,Egipto
3,Código Salvaje,Histórica,2025,7,StreamFlix,Nigeria
4,Frontera Perdida,Romance,2011,8,Asia Drama Plus,España
5,Secreto Azul,Crimen,2022,4,Asia Drama Plus,Brasil
6,Amanecer Circular,Suspenso,2023,1,Global Series Hub,Reino Unido
7,Herencia Circular,Suspenso,2015,3,Horizon Plus,Alemania
8,Ciudad Antigua,Fantasía,2012,4,Berlin Stream,Australia
9,Amanecer Oscura,Histórica,2012,6,BritBox Global,Brasil
10,Niebla Antigua,Acción,2018,7,Berlin Stream,Sudáfrica
11,Frontera Del Norte,Drama,2016,6,BritBox Global,España
12,Herencia Lejana,Histórica,2010,4,StreamFlix,Australia
13,Memoria Azul,Comedia,2018,4,CapeView,Brasil
14,Memoria Salvaje,Fantasía,2014,4,Global Series Hub,Japón
15,Destino Infinita,Drama,2018,2,Latam Series,Egipto
16,Niebla Oscura,Crimen,2009,1,Brasil Play,Japón
17,Destino Dorada,Suspenso,2024,2,Horizon Plus,Francia
18,Camino Antigua,Crimen,2025,7,CapeView,Sudáfrica
19,Imperio Profunda,Fantasía,2023,6,IberiaTV,Nigeria
20,Camino Del Norte,Ciencia ficción,2007,4,CineMax Play,Nigeria
21,Código Eterna,Crimen,2024,2,K-Drama World,Sudáfrica
22,Luz Profunda,Documental,2005,3,Lumiere Play,Egipto
23,Puerto Central,Drama,2016,5,Lumiere Play,Alemania
24,Ciudad Nueva,Documental,2019,4,Brasil Play,Reino Unido
25,Código Rota,Fantasía,2007,5,Kiwi Stories,Reino Unido
26,Mirada Perdida,Drama,2005,2,Asia Drama Plus,Japón
27,Reino Salvaje,Crimen,2011,3,Nile Screen,Estados Unidos
28,Camino Del Sur,Suspenso,2018,7,Horizon Plus,Brasil
29,Camino Brillante,Acción,2006,2,Horizon Plus,Nigeria
30,Herencia Final,Romance,2010,5,BritBox Global,Alemania
31,Memoria Brillante,Comedia,2015,5,Kiwi Stories,Egipto
32,Marea Salvaje,Acción,2009,1,Europa Cine,Francia
33,Marea Azul,Fantasía,2013,8,Europa Cine,Reino Unido
34,Ruta Oscura,Drama,2015,6,Sakura Plus,Japón
35,Medianoche Del Sur,Crimen,2014,6,Global Series Hub,Alemania
36,Archivo Central,Documental,2018,4,StreamFlix,Sudáfrica
37,Casa Circular,Histórica,2007,4,StreamFlix,Japón
38,Mirada Secreta,Fantasía,2019,8,Kiwi Stories,España
39,Sombras Central,Crimen,2006,4,Kiwi Stories,India
40,Silencio Rota,Romance,2014,3,Lumiere Play,Nueva Zelanda
41,Estación Circular,Drama,2022,1,CapeView,México
42,Luz Profunda 77,Acción,2012,3,CineMax Play,Australia
43,Medianoche Eterna,Acción,2009,8,Nollywood Play,Japón
44,Casa Azul,Comedia,2011,8,Brasil Play,Nueva Zelanda
45,Marea Perdida,Crimen,2019,8,CapeView,Egipto
46,Reino Central,Documental,2019,3,Nile Screen,España
47,Medianoche Dorada,Ciencia ficción,2007,5,Lumiere Play,Australia
48,Primera Oscura,Crimen,2007,3,IberiaTV,Egipto
49,Memoria Rota,Suspenso,2010,5,CapeView,Sudáfrica
50,Pacto Azul,Fantasía,2019,7,K-Drama World,Japón
51,Estación Central,Romance,2013,6,Brasil Play,Japón
52,Puerto Brillante,Acción,2014,8,Asia Drama Plus,Brasil
53,Camino Central,Documental,2024,5,Kiwi Stories,Japón
54,Último Brillante,Acción,2023,5,Asia Drama Plus,Brasil
55,Mirada Profunda,Crimen,2014,7,Berlin Stream,España
